rowID,colID,wellID,sample,cell_line,stimulus,inhibitor,description,descript_cell_inhib,descript_cell_stim,descript_inhib_stim,descript_inhib_stim_no,staining,nostain,protein_PE,protein_AF647,protein_AF488,protein_BV421
B,1,B01,1,HBL1,PBS,DMSO,HBL1 - DMSO PBS,HBL1 - DMSO,HBL1 - PBS,DMSO PBS,DMSO PBS ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
B,2,B02,2,HBL1,PBS,iSYK,HBL1 - iSYK PBS,HBL1 - iSYK,HBL1 - PBS,iSYK PBS,iSYK PBS ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
B,3,B03,3,HBL1,PBS,iBTK,HBL1 - iBTK PBS,HBL1 - iBTK,HBL1 - PBS,iBTK PBS,iBTK PBS ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
B,4,B04,4,HBL1,PBS,iPI3Kd,HBL1 - iPI3Kd PBS,HBL1 - iPI3Kd,HBL1 - PBS,iPI3Kd PBS,iPI3Kd PBS ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
B,5,B05,5,HBL1,PBS,iNFkB,HBL1 - iNFkB PBS,HBL1 - iNFkB,HBL1 - PBS,iNFkB PBS,iNFkB PBS ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
B,7,B07,6,HBL1,aIg/H2O2,DMSO,HBL1 - DMSO aIg/H2O2,HBL1 - DMSO,HBL1 - aIg/H2O2,DMSO aIg/H2O2,DMSO aIg/H2O2 ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
B,8,B08,7,HBL1,aIg/H2O2,iSYK,HBL1 - iSYK aIg/H2O2,HBL1 - iSYK,HBL1 - aIg/H2O2,iSYK aIg/H2O2,iSYK aIg/H2O2 ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
B,9,B09,8,HBL1,aIg/H2O2,iBTK,HBL1 - iBTK aIg/H2O2,HBL1 - iBTK,HBL1 - aIg/H2O2,iBTK aIg/H2O2,iBTK aIg/H2O2 ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
B,10,B10,9,HBL1,aIg/H2O2,iPI3Kd,HBL1 - iPI3Kd aIg/H2O2,HBL1 - iPI3Kd,HBL1 - aIg/H2O2,iPI3Kd aIg/H2O2,iPI3Kd aIg/H2O2 ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
B,11,B11,10,HBL1,aIg/H2O2,iNFkB,HBL1 - iNFkB aIg/H2O2,HBL1 - iNFkB,HBL1 - aIg/H2O2,iNFkB aIg/H2O2,iNFkB aIg/H2O2 ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
B,12,B12,11,HBL1,PBS,DMSO,HBL1 - DMSO PBS - nostain,HBL1 - DMSO,HBL1 - PBS,DMSO PBS,DMSO PBS nostain,no,nostain,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
C,1,C01,12,OCI-Ly8,PBS,DMSO,OCI-Ly8 - DMSO PBS,OCI-Ly8 - DMSO,OCI-Ly8 - PBS,DMSO PBS,DMSO PBS ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
C,2,C02,13,OCI-Ly8,PBS,iSYK,OCI-Ly8 - iSYK PBS,OCI-Ly8 - iSYK,OCI-Ly8 - PBS,iSYK PBS,iSYK PBS ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
C,3,C03,14,OCI-Ly8,PBS,iBTK,OCI-Ly8 - iBTK PBS,OCI-Ly8 - iBTK,OCI-Ly8 - PBS,iBTK PBS,iBTK PBS ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
C,4,C04,15,OCI-Ly8,PBS,iPI3Kd,OCI-Ly8 - iPI3Kd PBS,OCI-Ly8 - iPI3Kd,OCI-Ly8 - PBS,iPI3Kd PBS,iPI3Kd PBS ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
C,5,C05,16,OCI-Ly8,PBS,iNFkB,OCI-Ly8 - iNFkB PBS,OCI-Ly8 - iNFkB,OCI-Ly8 - PBS,iNFkB PBS,iNFkB PBS ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
C,7,C07,17,OCI-Ly8,aIg/H2O2,DMSO,OCI-Ly8 - DMSO aIg/H2O2,OCI-Ly8 - DMSO,OCI-Ly8 - aIg/H2O2,DMSO aIg/H2O2,DMSO aIg/H2O2 ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
C,8,C08,18,OCI-Ly8,aIg/H2O2,iSYK,OCI-Ly8 - iSYK aIg/H2O2,OCI-Ly8 - iSYK,OCI-Ly8 - aIg/H2O2,iSYK aIg/H2O2,iSYK aIg/H2O2 ,yes,,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182),cCaspase 3 + cPARP
